"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","63.48","63.49","63.50","63.44","13.88M","0.00%"
"12/16/2024","63.48","63.48","63.49","63.47","7.13M","0.65%"
"12/13/2024","63.07","63.06","63.16","63.02","1.20M","0.03%"
"12/12/2024","63.05","63.08","63.23","63.03","1.74M","-0.30%"
"12/11/2024","63.24","62.50","63.25","62.22","7.82M","1.61%"
"12/10/2024","62.24","62.50","62.50","62.21","2.13M","-0.21%"
"12/09/2024","62.37","61.85","62.37","61.85","3.18M","0.87%"
"12/06/2024","61.83","61.90","62.16","61.72","2.71M","-0.47%"
"12/05/2024","62.12","62.19","62.20","61.88","3.03M","0.45%"
"12/04/2024","61.84","61.75","61.97","61.51","2.03M","0.23%"
"12/03/2024","61.70","61.43","62.08","61.18","4.22M","0.44%"
"12/02/2024","61.43","60.94","61.48","60.81","2.09M","0.52%"
"11/29/2024","61.11","61.00","61.21","60.91","771.19K","0.18%"
"11/27/2024","61.00","60.95","61.04","60.70","1.50M","0.41%"
"11/26/2024","60.75","61.28","61.29","60.75","1.96M","-0.88%"
"11/25/2024","61.29","60.98","61.30","60.94","2.64M","0.51%"
"11/22/2024","60.98","59.90","61.50","59.82","4.87M","2.21%"
"11/21/2024","59.66","59.09","59.84","58.92","1.19M","1.12%"
"11/20/2024","59.00","58.72","59.04","58.67","1.64M","0.20%"
"11/19/2024","58.88","58.51","58.98","58.39","1.10M","0.17%"
"11/18/2024","58.78","59.10","59.13","58.58","1.72M","-0.54%"
"11/15/2024","59.10","58.99","59.35","58.73","1.49M","0.32%"
"11/14/2024","58.91","59.15","59.38","58.91","1.12M","-0.41%"
"11/13/2024","59.15","59.21","59.51","59.08","1.41M","-0.17%"
"11/12/2024","59.25","59.53","59.76","59.15","1.36M","-0.35%"
"11/11/2024","59.46","59.60","59.96","59.35","1.02M","0.08%"
"11/08/2024","59.41","59.81","59.98","59.34","2.57M","-0.85%"
"11/07/2024","59.92","60.01","60.21","59.85","2.19M","-0.05%"
"11/06/2024","59.95","59.60","60.06","59.48","4.20M","2.51%"
"11/05/2024","58.48","58.50","58.92","58.29","1.71M","-0.36%"
"11/04/2024","58.69","58.92","59.21","58.52","2.00M","-0.07%"
"11/01/2024","58.73","58.51","58.83","58.50","1.70M","0.22%"
"10/31/2024","58.60","58.95","58.95","58.57","1.17M","-0.63%"
"10/30/2024","58.97","58.62","59.25","58.52","1.69M","0.53%"
"10/29/2024","58.66","58.88","58.90","58.62","1.93M","-0.26%"
"10/28/2024","58.81","59.29","59.32","58.74","1.39M","-0.47%"
"10/25/2024","59.09","59.50","59.50","59.00","2.47M","-0.69%"
"10/24/2024","59.50","59.50","59.73","59.25","2.91M","0.17%"
"10/23/2024","59.40","59.50","59.64","59.35","2.43M","-0.87%"
"10/22/2024","59.92","60.14","60.32","59.56","2.57M","-0.43%"
"10/21/2024","60.18","60.34","60.40","60.14","772.65K","-0.18%"
"10/18/2024","60.29","60.00","60.39","59.95","908.42K","0.33%"
"10/17/2024","60.09","60.30","60.34","59.94","2.02M","-0.32%"
"10/16/2024","60.28","60.57","60.71","60.23","1.46M","-0.63%"
"10/15/2024","60.66","60.72","60.75","60.52","2.21M","0.02%"
"10/14/2024","60.65","60.50","60.73","60.50","1.21M","0.33%"
"10/11/2024","60.45","60.71","60.81","60.43","1.43M","-0.43%"
"10/10/2024","60.71","60.78","60.84","60.50","2.10M","-0.41%"
"10/09/2024","60.96","60.87","61.00","60.78","1.01M","0.35%"
"10/08/2024","60.75","60.69","60.81","60.55","673.87K","0.23%"
"10/07/2024","60.61","60.53","60.64","60.50","894.33K","0.03%"
"10/04/2024","60.59","60.75","60.75","60.50","792.44K","-0.20%"
"10/03/2024","60.71","60.51","60.71","60.39","775.91K","0.43%"
"10/02/2024","60.45","60.09","60.61","60.09","1.53M","0.37%"
"10/01/2024","60.23","60.45","60.52","60.04","1.32M","-0.56%"
"09/30/2024","60.57","60.30","60.57","60.05","1.39M","0.40%"
"09/27/2024","60.33","60.08","60.37","60.08","1.58M","0.07%"
"09/26/2024","60.29","59.86","60.30","59.81","1.94M","0.72%"
"09/25/2024","59.86","60.18","60.45","59.79","1.60M","-0.47%"
"09/24/2024","60.14","59.40","60.19","59.40","1.42M","0.65%"
