"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2019","31.69","29.91","31.69","29.91","49.01M","8.71%"
"07/25/2019","29.15","28.69","29.43","28.60","20.28M","2.64%"
"07/24/2019","28.40","28.74","28.75","27.97","9.10M","-1.01%"
"07/23/2019","28.69","28.82","28.86","28.43","8.99M","0.03%"
"07/22/2019","28.68","28.89","28.98","28.68","6.21M","-0.31%"
"07/19/2019","28.77","29.28","29.29","28.59","7.72M","-1.44%"
"07/18/2019","29.19","28.15","29.23","28.12","23.44M","4.51%"
"07/17/2019","27.93","27.84","28.17","27.82","4.97M","0.07%"
"07/16/2019","27.91","28.13","28.30","27.83","4.11M","-0.96%"
"07/15/2019","28.18","28.02","28.32","27.98","8.36M","0.57%"
"07/12/2019","28.02","27.70","28.07","27.63","6.48M","1.08%"
"07/11/2019","27.72","27.95","27.96","27.60","6.63M","-0.43%"
"07/10/2019","27.84","27.96","28.17","27.67","5.36M","-0.14%"
"07/09/2019","27.88","27.68","27.88","27.41","10.46M","0.29%"
"07/08/2019","27.80","28.00","28.16","27.78","3.83M","-1.35%"
"07/05/2019","28.18","27.83","28.19","27.52","3.27M","0.82%"
"07/03/2019","27.95","27.86","28.12","27.84","2.13M","0.22%"
"07/02/2019","27.89","27.43","27.90","27.39","5.69M","1.49%"
"07/01/2019","27.48","27.37","27.55","27.18","7.93M","1.51%"
"06/28/2019","27.07","27.10","27.24","26.92","8.40M","0.00%"
"06/27/2019","27.07","26.88","27.17","26.82","3.77M","0.89%"
"06/26/2019","26.83","27.08","27.45","26.83","2.05M","-0.30%"
"06/25/2019","26.91","27.00","27.12","26.71","4.88M","-0.33%"
"06/24/2019","27.00","27.30","27.44","26.99","2.81M","-1.21%"
"06/21/2019","27.33","27.32","27.46","27.12","5.47M","0.04%"
"06/20/2019","27.32","26.95","27.35","26.88","5.97M","2.13%"
"06/19/2019","26.75","26.76","26.80","26.36","6.12M","0.83%"
"06/18/2019","26.53","26.59","26.83","26.35","5.20M","0.04%"
"06/17/2019","26.52","26.50","26.69","26.21","8.43M","-0.19%"
"06/14/2019","26.57","26.19","26.61","26.19","2.39M","0.87%"
"06/13/2019","26.34","26.86","26.86","26.24","4.52M","-1.27%"
"06/12/2019","26.68","26.71","26.84","26.44","7.58M","0.08%"
"06/11/2019","26.66","27.09","27.14","26.16","4.21M","-0.89%"
"06/10/2019","26.90","26.69","27.07","26.58","4.00M","1.01%"
"06/07/2019","26.63","26.75","26.95","26.59","9.49M","0.30%"
"06/06/2019","26.55","26.26","26.59","26.17","8.15M","0.91%"
"06/05/2019","26.31","25.96","26.33","25.87","3.89M","2.81%"
"06/04/2019","25.59","24.88","25.63","24.85","6.70M","3.94%"
"06/03/2019","24.62","25.45","25.63","24.44","7.26M","-3.15%"
"05/31/2019","25.42","25.64","25.75","25.33","4.25M","-1.66%"
"05/30/2019","25.85","25.84","26.09","25.74","2.78M","0.19%"
"05/29/2019","25.80","25.61","25.81","25.50","3.05M","0.00%"
"05/28/2019","25.80","25.80","26.08","25.71","5.46M","0.12%"
"05/24/2019","25.77","26.13","26.22","25.72","6.37M","-0.39%"
"05/23/2019","25.87","26.35","26.42","25.65","4.00M","-2.89%"
"05/22/2019","26.64","26.24","26.68","26.22","4.93M","1.29%"
"05/21/2019","26.30","26.05","26.46","26.01","4.91M","1.62%"
"05/20/2019","25.88","25.72","26.10","25.72","6.28M","-0.42%"
"05/17/2019","25.99","25.82","26.05","25.82","4.19M","-0.35%"
"05/16/2019","26.08","25.56","26.11","25.54","3.72M","2.52%"
"05/15/2019","25.44","24.93","25.56","24.91","5.83M","1.27%"
"05/14/2019","25.12","24.82","25.40","24.80","3.38M","1.45%"
