"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2013","45.29","45.82","45.83","45.00","10.80M","-1.09%"
"11/11/2013","45.79","45.97","46.28","45.64","745.78K","-0.52%"
"11/08/2013","46.03","45.23","46.16","45.23","700.10K","1.54%"
"11/07/2013","45.33","45.25","45.68","45.11","927.36K","0.15%"
"11/06/2013","45.26","45.01","45.26","44.77","632.41K","0.78%"
"11/05/2013","44.91","44.89","45.39","44.51","2.16M","1.65%"
"11/04/2013","44.18","44.48","44.61","43.96","944.17K","-0.63%"
"11/01/2013","44.46","44.00","44.65","44.00","1.19M","1.00%"
"10/31/2013","44.02","43.83","44.26","43.65","10.54M","0.76%"
"10/30/2013","43.69","43.98","44.13","43.64","1.32M","-0.86%"
"10/29/2013","44.07","44.08","44.44","43.85","1.89M","-0.34%"
"10/28/2013","44.22","44.58","44.58","44.04","1.46M","-0.83%"
"10/25/2013","44.59","44.57","44.74","44.46","1.29M","0.04%"
"10/24/2013","44.57","44.74","44.74","44.33","1.91M","-0.13%"
"10/23/2013","44.63","44.51","44.71","44.38","2.34M","-0.42%"
"10/22/2013","44.82","44.79","44.97","44.52","1.31M","0.04%"
"10/21/2013","44.80","44.89","45.00","44.67","450.63K","-0.44%"
"10/18/2013","45.00","44.96","45.00","44.52","1.42M","0.56%"
"10/17/2013","44.75","44.32","44.86","44.27","2.62M","0.49%"
"10/16/2013","44.53","44.59","44.80","44.26","1.34M","0.70%"
"10/15/2013","44.22","44.14","44.56","44.01","1.84M","-0.61%"
"10/14/2013","44.49","44.25","44.60","44.04","1.07M","0.25%"
"10/11/2013","44.38","44.06","44.44","43.93","851.05K","0.54%"
"10/10/2013","44.14","43.65","44.36","43.55","2.25M","1.78%"
"10/09/2013","43.37","43.56","43.69","43.06","1.23M","-0.05%"
"10/08/2013","43.39","44.02","44.11","43.11","1.38M","-1.30%"
"10/07/2013","43.96","43.66","44.23","43.66","1.12M","-0.45%"
"10/04/2013","44.16","43.15","44.16","43.11","2.64M","2.48%"
"10/03/2013","43.09","42.50","43.20","42.39","3.03M","1.39%"
"10/02/2013","42.50","42.14","42.50","41.62","2.63M","0.12%"
"10/01/2013","42.45","41.78","42.48","41.78","1.85M","1.12%"
"09/30/2013","41.98","41.59","42.07","41.50","1.35M","0.07%"
"09/27/2013","41.95","41.49","42.10","41.43","1.04M","0.38%"
"09/26/2013","41.79","41.56","41.87","41.50","978.35K","0.55%"
"09/25/2013","41.56","41.90","41.93","41.50","689.94K","-0.67%"
"09/24/2013","41.84","41.95","42.10","41.68","1.07M","-0.24%"
